"","month","serostatus","trial","serotype","mean","lower","upper","year","N","avg_titre","lower_titre","upper_titre","sd_titre","SE_titre"
"90",-3,"SP","Placebo","DENV-3",356,305,416,-0.25,902,2.55144999797288,2.48429983934679,2.61909333062674,1.0327284085124,0.0343860947142747
"91",-3,"SN","TAK","DENV-3",5,5,5,-0.25,702,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"92",-3,"SN","Placebo","DENV-3",5,5,5,-0.25,345,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"93",-2,"SP","TAK","DENV-3",2254,2093,2428,-0.166666666666667,1816,3.35295391171009,3.32076922833869,3.38524868240322,0.700959953129669,0.0164488403225851
"94",-2,"SP","Placebo","DENV-3",350,299,410,-0.166666666666667,902,2.54406804435028,2.47567118832443,2.61278385671974,1.05049692291655,0.0349777215294148
"95",-2,"SN","TAK","DENV-3",195,174,218,-0.166666666666667,702,2.29003461136252,2.2405492482826,2.3384564936046,0.661755136044521,0.0249763380923481
"96",-2,"SN","Placebo","DENV-3",5.5,5.2,5.9,-0.166666666666667,345,0.740362689494244,0.716003343634799,0.770852011642144,0.259889997996612,0.0139920071447309
"97",0,"SP","TAK","DENV-3",1563,1453,1682,0,1816,3.19395897801919,3.16226561429802,3.22582599146189,0.690968613864211,0.0162143819295592
"98",0,"SP","Placebo","DENV-3",322,277,374,0,902,2.50785587169583,2.44247976906445,2.57287160220048,0.999004840952673,0.0332632227387836
"99",0,"SN","TAK","DENV-3",94,85,104,0,702,1.9731278535997,1.92941892571429,2.01703333929878,0.592185879506434,0.0223506157103285
"100",0,"SN","Placebo","DENV-3",5.5,5.1,5.9,0,345,0.740362689494244,0.707570176097936,0.770852011642144,0.299848960973924,0.0161433253939306
"101",1,"SP","TAK","DENV-3",1761,1646,1884,0.0833333333333333,1816,3.24575935596728,3.21642983087625,3.27508089845686,0.637599219453087,0.0149620070358693
"102",1,"SP","Placebo","DENV-3",354,302,415,0.0833333333333333,902,2.54900326202579,2.48000694295715,2.61804809671209,1.05761056912215,0.035214580039526
"103",1,"SN","TAK","DENV-3",228,212,246,0.0833333333333333,702,2.35793484700045,2.32633586092875,2.39093510710338,0.436626347723999,0.0164793995343439
"104",1,"SN","Placebo","DENV-3",6,5.4,6.6,0.0833333333333333,345,0.778151250383644,0.732393759822969,0.819543935541869,0.412944558470522,0.0222321876833929
"105",6,"SP","TAK","DENV-3",1088,1008,1174,0.5,1816,3.03662889536216,3.00346053210951,3.0696680969116,0.719746347015502,0.0168896848984921
"106",6,"SP","Placebo","DENV-3",308,262,361,0.5,902,2.48855071650044,2.41830129131975,2.55750720190566,1.0665344233597,0.0355117118841613
"107",6,"SN","TAK","DENV-3",72,66,78,0.5,702,1.85733249643127,1.81954393554187,1.89209460269048,0.490370007358994,0.0185078232521968
"108",6,"SN","Placebo","DENV-3",6.4,5.7,7.1,0.5,345,0.806179973983887,0.755874855672491,0.851258348719075,0.451956569181714,0.0243325237363734
"109",12,"SP","TAK","DENV-3",803,742,870,1,1816,2.90471554527868,2.87040390527903,2.93951925261862,0.751357022707006,0.0176314661580591
"110",12,"SP","Placebo","DENV-3",284,242,333,1,902,2.45331834004704,2.38381536598043,2.52244423350632,1.06211337338642,0.0353645070219104
"111",12,"SN","TAK","DENV-3",54,49,59,1,702,1.73239375982297,1.69019608002851,1.77085201164214,0.545153495251896,0.0205754927585792
"112",12,"SN","Placebo","DENV-3",6.3,5.8,6.9,1,345,0.799340549453582,0.763427993562937,0.838849090737255,0.357368547052244,0.019240075809775
"113",24,"SP","TAK","DENV-3",725,666,791,2,1816,2.86033800657099,2.8234742291703,2.89817648349768,0.812092618519855,0.0190566975324937
"114",24,"SP","Placebo","DENV-3",309,262,364,2,902,2.48995847942483,2.41830129131975,2.56110138364906,1.09407146210332,0.036428594981967
"115",24,"SN","TAK","DENV-3",55,48,62,2,702,1.74036268949424,1.68124123737559,1.79239168949825,0.751265979590522,0.0283547071741497
"116",24,"SN","Placebo","DENV-3",7.6,6.6,8.8,2,345,0.880813592280791,0.819543935541869,0.944482672150169,0.591998478476853,0.0318721266857908
"117",-3,"SP","TAK","DENV-4",218,198,241,-0.25,1816,2.3384564936046,2.29666519026153,2.38201704257487,0.927865027163677,0.0217734317125861
"118",-3,"SP","Placebo","DENV-4",234,203,270,-0.25,902,2.36921585741014,2.30749603791321,2.43136376415899,0.949020005173425,0.0315989097565751
"119",-3,"SN","TAK","DENV-4",5,5,5,-0.25,702,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"120",-3,"SN","Placebo","DENV-4",5,5,5,-0.25,345,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"121",-2,"SP","TAK","DENV-4",1306,1224,1393,-0.166666666666667,1816,3.11594317693906,3.08778141780954,3.14395111642396,0.610624110878274,0.0143290047485768
"122",-2,"SP","Placebo","DENV-4",222,192,258,-0.166666666666667,902,2.34635297445064,2.28330122870355,2.41161970596323,0.983119700697519,0.0327343054233879
"123",-2,"SN","TAK","DENV-4",111,98,126,-0.166666666666667,702,2.04532297878666,1.9912260756925,2.10037054511756,0.737707541207474,0.02784297689415
"124",-2,"SN","Placebo","DENV-4",5.4,5,5.7,-0.166666666666667,345,0.732393759822969,0.698970004336019,0.755874855672491,0.269632832247684,0.0145165437082838
"125",0,"SP","TAK","DENV-4",1002,940,1069,0,1816,3.00086772153123,2.9731278535997,3.02897770520878,0.607147035193842,0.0142474111247651
"126",0,"SP","Placebo","DENV-4",215,187,248,0,902,2.33243845991561,2.2718416065365,2.39445168082622,0.939384429369963,0.0312780801759483
"127",0,"SN","TAK","DENV-4",63,57,70,0,702,1.79934054945358,1.75587485567249,1.84509804001426,0.6030595621215,0.0227610164137157
"128",0,"SN","Placebo","DENV-4",5.5,5.1,5.9,0,345,0.740362689494244,0.707570176097936,0.770852011642144,0.299848960973924,0.0161433253939306
"129",1,"SP","TAK","DENV-4",1129,1066,1196,0.0833333333333333,1816,3.05269394192497,3.02775720469055,3.07773117965239,0.543270033147216,0.012748463000469
"130",1,"SP","Placebo","DENV-4",242,208,280,0.0833333333333333,902,2.38381536598043,2.31806333496276,2.44715803134222,0.989066749984638,0.0329323205049638
"131",1,"SN","TAK","DENV-4",144,134,155,0.0833333333333333,702,2.15836249209525,2.12710479836481,2.19033169817029,0.427350657705078,0.0161293111748683
"132",1,"SN","Placebo","DENV-4",5.8,5.4,6.4,0.0833333333333333,345,0.763427993562937,0.732393759822969,0.806179973983887,0.349621964345438,0.0188230138165609
"133",6,"SP","TAK","DENV-4",778,730,830,0.5,1816,2.89097959698969,2.86332286012046,2.91907809237607,0.606118422614384,0.0142232735345964
"134",6,"SP","Placebo","DENV-4",229,198,266,0.5,902,2.35983548233989,2.29666519026153,2.42488163663107,0.982337984920316,0.0327082771350857
"135",6,"SN","TAK","DENV-4",64,59,70,0.5,702,1.80617997398389,1.77085201164214,1.84509804001426,0.501828954992672,0.0189403133602328
"136",6,"SN","Placebo","DENV-4",6.2,5.6,6.9,0.5,345,0.792391689498254,0.7481880270062,0.838849090737255,0.429580234624464,0.0231278223803712
"137",12,"SP","TAK","DENV-4",818,766,874,1,1816,2.91275330367132,2.8842287696326,2.9415114326344,0.622723212462332,0.0146129242351528
"138",12,"SP","Placebo","DENV-4",293,252,340,1,902,2.46686762035411,2.40140054078154,2.53147891704225,0.996603272324147,0.0331832592501813
"139",12,"SN","TAK","DENV-4",64,58,71,1,702,1.80617997398389,1.76342799356294,1.85125834871908,0.593645428732389,0.0224057028459535
"140",12,"SN","Placebo","DENV-4",6.4,5.8,7.1,1,345,0.806179973983887,0.763427993562937,0.851258348719075,0.416167459572832,0.0224057028459536
"141",24,"SP","TAK","DENV-4",636,592,682,2,1816,2.80345711564841,2.77232170672292,2.83378437465648,0.668164292936054,0.015679252023867
"142",24,"SP","Placebo","DENV-4",264,228,307,2,902,2.42160392686983,2.35793484700045,2.48713837547719,0.98990057361771,0.0329600837950848
"143",24,"SN","TAK","DENV-4",56,50,63,2,702,1.7481880270062,1.69897000433602,1.79934054945358,0.678404580995882,0.0256047308973375
"144",24,"SN","Placebo","DENV-4",7.5,6.5,8.6,2,345,0.8750612633917,0.812913356642856,0.934498451243568,0.576107882655699,0.0310166057654878
